ITEM: TIMESTEP
10000000
ITEM: NUMBER OF ATOMS
4556
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 1.5011186343322501e+02
0.0000000000000000e+00 1.6691186343322499e+02
-1.0000000000000000e-02 1.0000000000000000e-02
ITEM: ATOMS id type x y vx vy fx fy xu yu c_shearStr[4] c_shearStr[1] c_shearStr[2] v_coordA v_coordB v_coordA_wall v_coordB_wall
1 1     3.1143266694e+01     3.2112242274e+00    -7.5055931717e-05     0.0000000000e+00     3.4586453725e-11     5.7813394608e-11     3.1143266694e+01     3.2112242274e+00     1.3519282798e-05    -1.2264112750e-05    -2.5524784962e-05 0 0 0 0
2 1     3.0404007371e+01     1.3528864139e+00    -7.5055931717e-05     0.0000000000e+00     2.6097361752e-05    -4.9940246666e-05     3.0404007371e+01     1.3528864139e+00    -5.7883085646e-06    -5.3316321409e-04    -1.3450328920e-04 0 0 0 0
3 1     8.5950961623e+00     4.3742392364e+00    -7.5055931717e-05     0.0000000000e+00     3.4435854006e-10     1.3410516187e-11     8.5950961623e+00     4.3742392364e+00    -7.4905191602e-04    -6.3932481185e-04    -2.9394947014e-03 0 0 0 0
4 1     2.3773322428e+01     1.4767393420e+01    -8.7813603477e-05    -2.1461554169e-05     5.7158070956e-06     1.1254616115e-05     2.3773322428e+01     1.4767393420e+01    -5.4780202210e-04    -2.2365965685e-03    -6.6088925874e-04 4 0 0 0
5 1     1.6321023444e+01     1.9585552753e+01     1.0651763717e-04     4.5750510367e-04     5.1700671611e-06     5.8613010667e-06     1.6321023444e+01     1.9585552753e+01     2.9391698670e-04    -1.9056784630e-03    -3.5772997056e-04 4 0 0 0
6 1     1.1846684110e+01     6.9198837191e+00    -7.5055931717e-05     0.0000000000e+00    -5.9899410854e-04    -1.9635773512e-04     1.1846684110e+01     6.9198837191e+00    -2.5927880441e-04    -6.4406251970e-04    -1.1087492373e-03 0 0 0 0
7 1     5.5971430409e+00     1.8603899271e+01    -4.3707078756e-05     4.3249837106e-05    -2.1128919228e-06    -1.1039034269e-06     5.5971430409e+00     1.8603899271e+01    -4.5857351511e-04    -2.3137562651e-03    -9.1737429121e-04 4 0 0 0
8 1     3.8923820549e+01     1.6481722641e+02     7.5055931717e-05     0.0000000000e+00    -1.0622405581e-10     2.1238110096e-10     3.8923820549e+01     1.6481722641e+02    -6.6402769573e-04    -1.2472897863e-03    -1.0873764212e-03 0 0 0 0
9 1     2.3230220871e+01     5.2090817653e+00    -7.5055931717e-05     0.0000000000e+00     1.0322940658e-10    -1.1394439082e-10     2.3230220871e+01     5.2090817653e+00    -7.0902302885e-05    -1.6573630707e-03    -1.1841093292e-03 0 0 0 0
10 1     4.4937560933e+00     2.2189428525e+01     6.4738221644e-06     3.8702642746e-04     8.8810415714e-07    -4.0852720216e-06     4.4937560933e+00     2.2189428525e+01    -2.6600090454e-05    -1.8374517531e-04    -4.9861997701e-05 3 0 0 0
11 1     3.0121166988e+01     1.2496496409e+01    -6.7264902755e-05     2.8843909772e-05    -3.3575248555e-06     2.6857962971e-06     3.0121166988e+01     1.2496496409e+01    -7.0352139102e-05    -9.5192683183e-04    -6.1318795407e-04 3 0 0 0
12 1     8.1118552372e+00     1.6983116006e+01    -7.2923141100e-05     2.3488910879e-04     1.0688112803e-06    -5.4470346429e-06     8.1118552372e+00     1.6983116006e+01     2.5934767961e-04    -5.1072111415e-04    -6.9031342497e-04 3 0 0 0
13 1     2.8509035704e+01     8.9631551263e+00    -7.4310239262e-05    -7.7311218366e-06    -1.3601656564e-06     1.7942632744e-06     2.8509035704e+01     8.9631551263e+00    -3.6274504237e-04    -5.9509658338e-04    -1.0188554912e-03 3 0 1 0
14 1     1.5562845911e+01     1.7735666897e+01    -2.6379778305e-05     5.1390419086e-04     6.4522575857e-06     5.4454670410e-06     1.5562845911e+01     1.7735666897e+01     5.3303615810e-04    -1.4554432247e-03    -4.5392497182e-04 3 0 0 0
15 1     7.3283039654e+00     2.8319759939e+00    -7.5055931717e-05     0.0000000000e+00     9.2439105437e-10     8.2140775085e-11     7.3283039654e+00     2.8319759939e+00    -6.2838371716e-04    -2.4800468752e-03    -1.5099494290e-03 0 0 0 0
16 1     1.4363238898e+02     4.9192654574e+00    -7.5055931717e-05     0.0000000000e+00    -2.8652793789e-09     6.5387639422e-12    -6.4794744564e+00     4.9192654574e+00    -1.7274203431e-04    -3.5913359960e-04    -4.6945892463e-04 0 0 0 0
17 1     1.4510288308e+02     1.1228683432e+01    -9.8164520875e-05    -4.7039748064e-06     7.1252749332e-07     2.4133274963e-07    -5.0089803520e+00     1.1228683432e+01    -1.6040201652e-05    -1.2967501511e-03    -1.8664601709e-03 4 0 0 0
18 1     6.7529144246e-01     1.5420253989e+01     1.2375970375e-04    -6.7153569763e-05    -4.5459463008e-06     7.4957560606e-07     6.7529144246e-01     1.5420253989e+01     1.0622722359e-06    -3.5975966070e-06    -3.2929240701e-07 3 0 0 0
